,Name,Win %,KDA
0,Aatrox,0.48869999999999997,1.95
1,Ahri,0.5042,2.65
2,Akali,0.4924,2.42
3,Akali,0.46380000000000005,2.05
4,Akshan,0.5064,2.24
5,Akshan,0.5031,2.0
6,Alistar,0.4892,2.43
7,Amumu,0.5356000000000001,2.8
8,Amumu,0.5193,2.21
9,Anivia,0.5177,2.64
10,Anivia,0.46630000000000005,2.15
11,Annie,0.5186,2.41
12,Annie,0.4757,2.11
13,Aphelios,0.47259999999999996,2.04
14,Ashe,0.49369999999999997,2.43
15,Ashe,0.5052,2.41
16,Aurelion Sol,0.4877,2.54
17,Azir,0.49090000000000006,2.21
18,Bard,0.5109,3.05
19,Bel'Veth,0.5265,2.39
20,Blitzcrank,0.5025,2.47
21,Brand,0.5097,1.85
22,Brand,0.483,2.01
23,Braum,0.488,2.79
24,Caitlyn,0.48350000000000004,2.22
25,Camille,0.5024000000000001,1.98
26,Cassiopeia,0.5185,2.16
27,Cassiopeia,0.5139,1.84
28,Cho'Gath,0.5162,2.11
29,Cho'Gath,0.49310000000000004,2.36
30,Corki,0.49770000000000003,2.31
31,Darius,0.5051,1.89
32,Diana,0.5272,2.61
33,Diana,0.508,2.18
34,Dr. Mundo,0.5009,2.18
35,Draven,0.5043,2.13
36,Ekko,0.5084000000000001,2.78
37,Ekko,0.4919,2.3
38,Elise,0.4999,2.69
39,Evelynn,0.4769,2.91
40,Ezreal,0.49,2.42
41,Fiddlesticks,0.4905,2.58
42,Fiora,0.5097,1.79
43,Fizz,0.4949,2.45
44,Galio,0.4917,2.64
45,Galio,0.47229999999999994,2.24
46,Gangplank,0.47729999999999995,2.03
47,Gangplank,0.4877,2.18
48,Garen,0.5146000000000001,2.08
49,Gnar,0.5005,1.99
50,Gragas,0.4978,2.97
51,Gragas,0.5157,2.53
52,Gragas,0.4779,2.12
53,Graves,0.48700000000000004,2.56
54,Gwen,0.46399999999999997,1.64
55,Gwen,0.4598,2.19
56,Hecarim,0.4803,2.83
57,Heimerdinger,0.5548,2.11
58,Heimerdinger,0.5547,2.34
59,Heimerdinger,0.5223,1.96
60,Heimerdinger,0.5031,1.71
61,Illaoi,0.5099,1.47
62,Irelia,0.4941,1.64
63,Irelia,0.4961,1.83
64,Ivern,0.49090000000000006,3.43
65,Janna,0.5247999999999999,3.17
66,Jarvan IV,0.5065999999999999,3.26
67,Jax,0.5063,1.7
68,Jax,0.5046,2.21
69,Jayce,0.49219999999999997,2.16
70,Jayce,0.4718,1.78
71,Jhin,0.5159,3.06
72,Jinx,0.49229999999999996,2.24
73,Kai'Sa,0.4953,2.44
74,Kalista,0.5022,2.37
75,Karma,0.4768,2.67
76,Karthus,0.47200000000000003,2.46
77,Karthus,0.49229999999999996,2.19
78,Karthus,0.525,2.19
79,Kassadin,0.5136999999999999,2.56
80,Katarina,0.4861,2.25
81,Kayle,0.5124,1.83
82,Kayle,0.5382,2.2
83,Kayn,0.5064,2.44
84,Kennen,0.5291,2.36
85,Kennen,0.4869,2.0
86,Kha'Zix,0.4955,2.59
87,Kindred,0.49920000000000003,2.27
88,Kled,0.4915,2.36
89,Kog'Maw,0.5236,2.25
90,LeBlanc,0.4693,2.84
91,Lee Sin,0.46149999999999997,2.67
92,Leona,0.48450000000000004,2.29
93,Lillia,0.5061,2.79
94,Lillia,0.5243,2.16
95,Lissandra,0.5036999999999999,2.44
96,Lucian,0.49689999999999995,2.32
97,Lulu,0.503,3.08
98,Lux,0.5056,2.49
99,Lux,0.5196999999999999,2.96
100,Malphite,0.5003,2.39
101,Malphite,0.5125,2.55
102,Malphite,0.4368,2.01
103,Malzahar,0.5157,2.28
104,Maokai,0.5127,2.23
105,Maokai,0.49119999999999997,2.15
106,Master Yi,0.4806,1.92
107,Miss Fortune,0.5194,2.36
108,Mordekaiser,0.519,1.92
109,Mordekaiser,0.5121,2.34
110,Morgana,0.5047,2.52
111,Nami,0.514,3.23
112,Nasus,0.5075999999999999,1.91
113,Nautilus,0.4877,2.32
114,Neeko,0.5196000000000001,2.36
115,Neeko,0.5236,1.99
116,Neeko,0.5084000000000001,2.11
117,Nidalee,0.4664,2.82
118,Nocturne,0.5075,2.58
119,Nunu,0.5153,2.95
120,Olaf,0.525,1.88
121,Olaf,0.48210000000000003,2.38
122,Orianna,0.4959,2.69
123,Ornn,0.5164,2.38
124,Pantheon,0.5096,2.35
125,Pantheon,0.5058,2.18
126,Pantheon,0.4449,1.94
127,Poppy,0.4996,2.74
128,Poppy,0.5115,2.18
129,Pyke,0.49090000000000006,2.29
130,Qiyana,0.49450000000000005,2.16
131,Qiyana,0.4888,2.53
132,Quinn,0.513,1.93
133,Rakan,0.507,2.98
134,Rammus,0.5389,3.08
135,Rek'Sai,0.49060000000000004,2.53
136,Rell,0.5027,2.42
137,Renata Glasc,0.5245000000000001,2.87
138,Renekton,0.509,2.14
139,Renekton,0.4739,1.85
140,Rengar,0.48700000000000004,2.32
141,Rengar,0.5146000000000001,1.93
142,Riven,0.4916,1.92
143,Rumble,0.5278,2.66
144,Rumble,0.47859999999999997,2.93
145,Rumble,0.4731,2.09
146,Ryze,0.442,2.09
147,Ryze,0.4581,1.81
148,Samira,0.5101,2.29
149,Sejuani,0.5256000000000001,3.39
150,Sejuani,0.5213,2.51
151,Senna,0.5173,2.67
152,Seraphine,0.5159,2.67
153,Seraphine,0.5526,3.05
154,Seraphine,0.5184000000000001,2.91
155,Sett,0.4963,1.75
156,Shaco,0.4879,2.8
157,Shaco,0.498,2.46
158,Shen,0.5315,3.09
159,Shyvana,0.5126,2.86
160,Shyvana,0.5034000000000001,2.08
161,Singed,0.507,2.49
162,Singed,0.47909999999999997,1.85
163,Sion,0.4864,1.58
164,Sivir,0.5089,2.45
165,Skarner,0.5256000000000001,2.95
166,Skarner,0.5215,2.34
167,Sona,0.5184000000000001,2.93
168,Soraka,0.5123,2.79
169,Swain,0.5297999999999999,2.66
170,Swain,0.506,2.42
171,Swain,0.5199,2.2
172,Swain,0.5389,2.82
173,Sylas,0.5096,2.21
174,Syndra,0.47909999999999997,2.2
175,Tahm Kench,0.5131,2.58
176,Tahm Kench,0.5542,3.1
177,Tahm Kench,0.4833,2.43
178,Taliyah,0.49329999999999996,2.21
179,Taliyah,0.4722,2.5
180,Talon,0.4978,2.52
181,Talon,0.4946,2.27
182,Taric,0.5252,2.83
183,Teemo,0.5146000000000001,1.78
184,Thresh,0.47229999999999994,2.54
185,Tristana,0.5136999999999999,2.34
186,Tristana,0.5036999999999999,2.14
187,Trundle,0.5252,2.81
188,Trundle,0.5049,1.74
189,Tryndamere,0.5059,1.85
190,Twisted Fate,0.4843,2.31
191,Twitch,0.5184000000000001,2.47
192,Udyr,0.5013000000000001,2.8
193,Urgot,0.5036,1.97
194,Varus,0.4693,2.17
195,Varus,0.4796,2.28
196,Vayne,0.5019,2.09
197,Vayne,0.493,1.61
198,Veigar,0.5139,2.39
199,Veigar,0.52,2.47
200,Vel'Koz,0.5219,2.71
201,Vel'Koz,0.5171,2.26
202,Vex,0.4913,2.36
203,Vi,0.5059,2.42
204,Viego,0.48960000000000004,2.4
205,Viktor,0.5252,2.37
206,Vladimir,0.49570000000000003,2.39
207,Vladimir,0.4782,2.06
208,Volibear,0.5421,3.03
209,Volibear,0.5065,1.75
210,Warwick,0.5125,2.27
211,Warwick,0.5184000000000001,1.9
212,Wukong,0.522,2.86
213,Wukong,0.5096,2.16
214,Xayah,0.4903,2.37
215,Xerath,0.5112,3.28
216,Xerath,0.5209,2.65
217,Xin Zhao,0.4938,2.3
218,Yasuo,0.49420000000000003,1.77
219,Yasuo,0.4913,1.5
220,Yasuo,0.5103,1.98
221,Yone,0.5127,1.98
222,Yone,0.4959,1.69
223,Yorick,0.5168,1.57
224,Yuumi,0.4959,4.35
225,Zac,0.5146999999999999,3.57
226,Zac,0.5109,2.69
227,Zed,0.4863,2.28
228,Zed,0.46619999999999995,2.52
229,Zeri,0.5038,2.45
230,Zeri,0.46159999999999995,2.31
231,Ziggs,0.5,2.44
232,Ziggs,0.5136999999999999,2.46
233,Zilean,0.5272,3.56
234,Zilean,0.48369999999999996,3.1
235,Zoe,0.4818,2.52
236,Zyra,0.5454,2.29
